i Ni ti di li hi bi gi εi
1 0.058200796 1.00 4 0 0 0 0 0
2 0.94391227 1.04 1 0 0 0 0 0
3 -0.80941908 2.72 1 0 0 0 0 0
4 0.55359038 1.174 2 0 0 0 0 0
5 -1.4269032 1.329 2 0 0 0 0 0
6 0.13448717 0.195 3 0 0 0 0 0
7 0.42671978 2.43 1 1 0 0 0 0
8 -1.1700261 1.274 1 1 0 0 0 0
9 -0.92405872 4.16 1 2 0 0 0 0
10 0.34891808 3.30 3 1 0 0 0 0
11 -0.91327720 4.177 3 2 0 0 0 0
12 0.022629481 2.50 2 1 0 0 0 0
13 -0.15513423 0.81 2 2 0 0 0 0
14 0.21055146 2.02 6 1 0 0 0 0
15 -0.21997690 1.606 6 1 0 0 0 0
16 -0.0065857238 0.86 8 1 0 0 0 0
17 0.75564749 2.50 1 0 1.075 1.207 1.194 0.779
18 0.10694110 3.72 1 0 0.463 0.0895 1.986 0.805
19 -0.069533844 1.19 2 0 0.876 0.581 1.583 1.869
20 -0.24947395 3.25 3 0 1.108 0.947 0.756 0.694
21 0.027177891 3.00 3 0 0.741 2.356 0.495 1.312
22 -0.00090539530 2.00 2 0 4.032 27.01 1.002 2.054
23 -0.12310953 2.00 2 0 2.453 4.542 1.077 0.441
24 -0.089779710 1.00 2 0 2.300 1.287 1.493 0.793
25 -0.39512601 1.00 1 0 3.143 3.090 1.542 0.313
